UserLocation	UserDescription	AccountLanguage	TweetLanguage	TweetText	TweetClient	isVerified
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"Quick!  time is short!🔥
   There is a dumpster 🔥fire at a southern man's White House, so let's test tRump's water bomber theory. 
       🧠👶💡   🛩️💧💧🌊
                   NOW!
This could save the nation! https://t.co/JoJ6JxXZB9"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: The American people deserve to know the full truth, not the tRump's AG version. #ReleaseTheFullReport 
#ReleaseTheFullRepor…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: ...the lies...
...concentration centers...
...deportation force...
...tax scam...
...easy tarff wars...
...obstruction of j…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @BettyBowers: Franklin Graham doesn't get to throw “don't lie with men” in Buttigieg's face until he's thrown these in Trump's face:

Th…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @DrStephensonN: Saturday science-lovers!

As a scientist I HATE this administration's ignorance of science.

To celebrate science, I'm t…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @TLangley99: This is the national emergency! https://t.co/uY0zoJ1V50	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: Vigilantes + fear/ignorance = innocent men/women/children seeking asylum &amp; safety are going to die.
  History has proven al…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @TLangley99: Mike Huckabee, just another profiting false prophet, anti-christ-ian. ....sad that he claims to represent Christians! https…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: It is beginning to appear that either the idiots in 45's administration are starting to believe their on BS spin or,
...the…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: In the future -
The year 2021 5th grade history lesson.

45* - the * denotes a president elected with the help of a foreign…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @cjrmurphy1: Just as disturbing is his radio silence on the burned black churches in his own country which was also a terrorist attack.…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @sbaker209: @TLangley99 While I agree this is an error I have never witnessed any professional person be so careless with their words ti…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"What is the difference between 138 &amp; 138 million dead?

A rounding error, close enough, just another, ""slip of the tongue"" or a ""Truthful Hyperbole"" for this administration.😱🤪🤦‍♂️🤦🇺🇸"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @TomthunkitsMind: ‘Mitch McConnell is no leader. He is the epitome of unprincipled power.’ — Robert Reich explains how the Senate majori…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	Donald trrrr....Rump. https://t.co/PgKx50F47w	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @gtconway3d: The House Judiciary Committee should subpoena everyone and everything relating to this. Any efforts by Trump to retaliate a…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @TeaPainUSA: Trump consorted with America’s enemies to win, then committed 10 distinct acts of obstruction to cover it up.  If this don’…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: We have:
⁉️a ""president"" who sees an arms race as good 4 business &amp; believes windmills cause cancer.🤦‍♂️🤦
⁉️a vice ""preside…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: There are No limits 2 who &amp; what tRump 45* will sacrifice 4 his ego. 🙏🤔🇺🇸

  He does everything possible 2 make bad situati…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @JWVerret: Finished a second read through the Mueller Report.  I don’t say this lightly, as a life long Republican, former R Hill staffe…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @Inspired2Share: ""Only two things are infinite, the universe and human stupidity, and I'm not sure about the former"" - Albert Einstein"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @Qwax14: @TLangley99 Yours truly... https://t.co/BjtiyEy3xC	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: An eye for an eye leaves everyone blind.

 Reflecting hate &amp; anger with  hate &amp; anger is only an illusion of justice.

Wish…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: A liar, a moron, a clown, a cheat,  a crook, a coward, a traitor, a conman, a narcissist,  Amoral.

Answer: Who is ________…"	Twitter for Android	False
